Rank,Country/Territory,GDP
1,United States,21439453
2,China,14140163
3,Japan,5154475
4,Germany,3863344
5,India,2935570
6,United Kingdom,2743586
7,France,2707074
8,Italy,1988636
9,Brazil,1847020
10,Canada,1730914
11,Russia,1637892
12,"Korea, South",1629532
13,Spain,1397870
14,Australia,1376255
15,Mexico,1274175
16,Indonesia,1111713
17,Netherlands,902355
18,Saudi Arabia,779289
19,Turkey,743708
20,Switzerland,715360
21,Poland,565854
22,Thailand,529177
23,Sweden,528929
24,Belgium,517609
25,Iran,458500
26,Austria,447718
27,Nigeria,446543
28,Argentina,445469
29,Norway,417627
30,United Arab Emirates,405771
31,Israel,387717
32,Ireland,384940
33,Malaysia,365303
34,Singapore,362818
35,South Africa,358839
36,Philippines,356814
37,Denmark,347176
38,Colombia,327895
39,Bangladesh,317465
40,Egypt,302256
41,Chile,294237
42,Pakistan,284214
43,Finland,269654
44,Vietnam,261637
45,Czech Republic,246953
46,Romania,243698
47,Portugal,236408
48,Peru,228989
49,Iraq,224462
50,Greece,214012
51,New Zealand,204671
52,Qatar,191849
53,Algeria,172781
54,Hungary,170407
55,Kazakhstan,170326
56,Ukraine,150401
57,Kuwait,137591
58,Morocco,119040
59,Ecuador,107914
60,Slovakia,106552
61,Kenya,98607
62,Angola,91527
63,Ethiopia,91166
64,Dominican Republic,89475
65,Sri Lanka,86566
66,Guatemala,81318
67,Oman,76609
68,Venezuela,70140
69,Luxembourg,69453
70,Panama,68536
71,Ghana,67077
72,Bulgaria,66250
73,Myanmar,65994
74,Tanzania,62224
75,Belarus,62572
76,Costa Rica,61021
77,Croatia,60702
78,Uzbekistan,60490
79,Syria,60043
80,Uruguay,59918
81,Lebanon,58565
82,Slovenia,54154
83,Lithuania,53641
84,Serbia,51523
85,"Congo, Democratic Republic of the",48994
86,Azerbaijan,47171
87,Turkmenistan,46674
88,C̫te d'Ivoire,44439
89,Jordan,44172
90,Bolivia,42401
91,Paraguay,40714
92,Tunisia,38732
93,Cameroon,38632
94,Bahrain,38184
95,Latvia,35045
96,Libya,33018
97,Estonia,31038
98,Sudan,30873
99,Uganda,30666
100,Yemen,29855
101,Nepal,29813
102,El Salvador,26871
103,Cambodia,26730
104,Honduras,24449
105,Cyprus,24280
106,Zambia,23946
107,Senegal,23940
108,Iceland,23918
109,Papua New Guinea,23587
110,Trinidad and Tobago,22607
111,Bosnia and Herzegovina,20106
112,Laos,19127
113,Afghanistan,18734
114,Botswana,18690
115,Mali,17647
116,Georgia,15925
117,Gabon,16877
118,Jamaica,15702
119,Albania,15418
120,Mozambique,15093
121,Malta,14859
122,Burkina Faso,14593
123,Mauritius,14391
124,Benin,14374
125,Namibia,14368
126,Mongolia,13637
127,Armenia,13444
128,Guinea,13368
129,Zimbabwe,12818
130,North Macedonia,12672
131,"Bahamas, The",12664
132,Madagascar,12550
133,Nicaragua,12528
134,Brunei,12455
135,Equatorial Guinea,12142
136,Moldova,11688
137,"Congo, Republic of the",11576
138,Chad,11026
139,Rwanda,10209
140,Niger,9443
141,Haiti,8819
142,Kyrgyzstan,8261
143,Tajikistan,8152
144,Malawi,7522
145,Maldives,5786
146,Togo,5502
147,Mauritania,5651
148,Montenegro,5424
149,Fiji,5708
150,Barbados,5189
151,Somalia,4958
152,Eswatini,4657
153,Sierra Leone,4229
154,Guyana,4121
155,Suriname,3774
156,South Sudan,3681
157,Burundi,3573
158,Liberia,3221
159,Djibouti,3166
160,Timor-Leste,2938
161,Bhutan,2842
162,Lesotho,2741
163,Central African Republic,2321
164,Eritrea,2110
165,Belize,2001
166,St. Lucia,1992
167,Gambia,1773
168,Antigua and Barbuda,1688
169,Seychelles,1644
170,San Marino,1591
171,Solomon Islands,1440
172,Grenada,1238
173,Comoros,1179
174,St. Kitts and Nevis,1032
175,Vanuatu,951
176,Samoa,905
177,St. Vincent and the Grenadines,856
178,Dominica,593
179,Tonga,488
180,Sao Tome and Principe,430
181,"Micronesia, Federated States of",381
182,Palau,291
183,Marshall Islands,220
184,Kiribati,184
185,Tuvalu,42
