Date,Confirmed_Cumulative_italy,Date,Confirmed_Cumulative_usa
,,1/24/2020,2
,,1/25/2020,3
,,1/26/2020,5
,,1/30/2020,6
,,1/31/2020,7
,,2/1/2020,8
,,2/2/2020,11
1/24/2020,,2/5/2020,12
1/25/2020,,2/6/2020,
1/26/2020,,2/20/2020,14
1/30/2020,,2/21/2020,
1/31/2020,2,2/22/2020,
2/1/2020,,2/23/2020,
2/2/2020,,2/24/2020,
2/5/2020,,2/25/2020,
2/6/2020,3,2/26/2020,15
2/20/2020,,2/27/2020,
2/21/2020,20,2/28/2020,19
2/22/2020,79,2/29/2020,24
2/23/2020,150,3/1/2020,42
2/24/2020,227,3/2/2020,57
2/25/2020,320,3/3/2020,85
2/26/2020,445,3/4/2020,111
2/27/2020,650,3/5/2020,175
2/28/2020,888,3/6/2020,252
2/29/2020,1128,3/7/2020,353
3/1/2020,1694,3/8/2020,497
3/2/2020,2036,3/9/2020,645
3/3/2020,2502,3/10/2020,936
3/4/2020,3089,3/11/2020,1205
3/5/2020,3858,3/12/2020,1598
3/6/2020,4636,3/13/2020,2163
3/7/2020,5883,3/14/2020,2825
3/8/2020,7375,3/15/2020,3497
3/9/2020,9172,3/16/2020,4372
3/10/2020,10149,3/17/2020,5656
3/11/2020,12462,3/18/2020,8074
3/12/2020,15113,3/19/2020,12018
3/13/2020,17660,3/20/2020,17235
3/14/2020,21157,,
3/15/2020,24747,,
3/16/2020,27980,,
3/17/2020,31506,,
3/18/2020,35713,,
3/19/2020,,,
3/20/2020,,,
