Country,formerly part of:,Region
Albania,*,Southern Europe
Armenia,Soviet Union,Western Asia
Azerbaijan,Soviet Union,Western Asia
Belarus,Soviet Union,Eastern Europe
Bosnia and Herzegovina,Yugoslavia,Southern Europe
Bulgaria,,Eastern Europe
Croatia,Yugoslavia,Southern Europe
Czech Republic,Czechoslovakia,Eastern Europe
Estonia,annexed by the Soviet Union**,Northern Europe
Georgia,Soviet Union,Western Asia
East Germany,,Western Europe
Hungary,,Eastern Europe
Kazakhstan,Soviet Union,South-Central Asia
Kyrgyzstan,Soviet Union,South-Central Asia
Latvia,annexed by Soviet Union**,Northern Europe
Lithuania,annexed by Soviet Union**,Northern Europe
"Macedonia, Rep. of",Yugoslavia,Southern Europe
Moldova,Soviet Union,Eastern Europe
Montenegro,Yugoslavia,
Poland,,Eastern Europe
Romania,,Eastern Europe
Russia,Soviet Union,Northern Europe/Asia
Serbia,Yugoslavia,Southern Europe
Slovakia,Czechoslovakia,Eastern Europe
Slovenia,Yugoslavia,Southern Europe
Tajikistan,Soviet Union,South-Central Asia
Turkmenistan,Soviet Union,South-Central Asia
Ukraine,Soviet Union,Eastern Europe
Uzbekistan,Soviet Union,South-Central Asia
