Month,Relative Strength,Possible Cause,What's Unprecedented this Week
2008-01,4,,
2008-02,4,,
2008-03,5,,
2008-04,5,,
2008-05,6,,
2008-06,3,,
2008-07,3,,
2008-08,4,,
2008-09,5,,
2008-10,7,,
2008-11,6,,
2008-12,6,,
2009-01,7,,
2009-02,6,,
2009-03,5,,
2009-04,6,,
2009-05,5,,
2009-06,5,,
2009-07,5,,
2009-08,4,,
2009-09,6,,
2009-10,7,,
2009-11,12,,
2009-12,7,,
2010-01,7,,
2010-02,7,,
2010-03,8,,
2010-04,9,,
2010-05,8,,
2010-06,6,,
2010-07,7,,
2010-08,6,,
2010-09,7,,
2010-10,8,,
2010-11,9,,
2010-12,7,,
2011-01,7,,
2011-02,8,,
2011-03,9,,
2011-04,9,,
2011-05,7,,
2011-06,7,,
2011-07,7,,
2011-08,7,,
2011-09,10,,
2011-10,9,,
2011-11,8,,
2011-12,8,,
2012-01,8,,
2012-02,9,,
2012-03,11,,
2012-04,10,,
2012-05,9,,
2012-06,8,,
2012-07,11,,
2012-08,8,,
2012-09,9,,
2012-10,13,,
2012-11,12,,
2012-12,11,,
2013-01,10,,
2013-02,11,,
2013-03,10,,
2013-04,11,,
2013-05,10,,
2013-06,8,,
2013-07,9,,
2013-08,9,,
2013-09,10,,
2013-10,12,,
2013-11,12,,
2013-12,10,,
2014-01,11,,
2014-02,12,,
2014-03,17,,
2014-04,14,,
2014-05,13,,
2014-06,11,,
2014-07,12,,
2014-08,12,,
2014-09,14,,
2014-10,15,,
2014-11,13,,
2014-12,12,,
2015-01,14,,
2015-02,14,,
2015-03,14,,
2015-04,14,,
2015-05,13,,
2015-06,12,,
2015-07,12,,
2015-08,12,,
2015-09,16,,
2015-10,16,,
2015-11,17,,
2015-12,15,,
2016-01,15,,
2016-02,15,,
2016-03,17,,
2016-04,15,,
2016-05,13,,
2016-06,15,,
2016-07,12,,
2016-08,13,,
2016-09,18,,
2016-10,19,,
2016-11,22,,
2016-12,31,,
2017-01,25,,
2017-02,21,,
2017-03,19,,
2017-04,18,,
2017-05,18,,
2017-06,16,,
2017-07,12,,
2017-08,17,,
2017-09,19,,
2017-10,19,,
2017-11,18,,
2017-12,16,,
2018-01,17,,
2018-02,18,,
2018-03,17,,
2018-04,18,,
2018-05,17,,
2018-06,15,,
2018-07,14,,
2018-08,16,,
2018-09,17,,
2018-10,17,,
2018-11,16,,
2018-12,15,,
2019-01,15,,
2019-02,19,,
2019-03,19,,
2019-04,20,,
2019-05,19,,
2019-06,15,,
2019-07,15,,
2019-08,17,,
2019-09,22,,
2019-10,18,,
2019-11,17,,
2019-12,14,,
2020-01,20,,
2020-02,19,,
2020-03,96,,
2020-04,100,,
