,cumulative_deaths,coefficient_of_determination,p_value
0,1,0.43127776889933794,2.2308804476530617e-07
1,2,0.4298579651961036,2.3720373798620963e-07
2,3,0.4298579651961036,2.3720373798620963e-07
3,4,0.4298579651961036,2.3720373798620963e-07
4,5,0.4298579651961036,2.3720373798620963e-07
5,6,0.4282278493074767,2.5446991636353854e-07
6,7,0.4282278493074767,2.5446991636353854e-07
7,8,0.4282278493074767,2.5446991636353854e-07
8,9,0.4282278493074767,2.5446991636353854e-07
9,10,0.4282278493074767,2.5446991636353854e-07
10,11,0.4282278493074767,2.5446991636353854e-07
11,12,0.4282278493074767,2.5446991636353854e-07
12,13,0.4282278493074767,2.5446991636353854e-07
13,14,0.42648948292460226,2.7421257452874124e-07
14,15,0.42648948292460226,2.7421257452874124e-07
15,16,0.42648948292460226,2.7421257452874124e-07
16,17,0.42648948292460226,2.7421257452874124e-07
17,18,0.42648948292460226,2.7421257452874124e-07
18,19,0.42648948292460226,2.7421257452874124e-07
19,20,0.42648948292460226,2.7421257452874124e-07
20,21,0.42648948292460226,2.7421257452874124e-07
21,22,0.42648948292460226,2.7421257452874124e-07
22,23,0.4247003507246919,2.9606642385759e-07
23,24,0.4247003507246919,2.9606642385759e-07
24,25,0.4247003507246919,2.9606642385759e-07
25,26,0.4247003507246919,2.9606642385759e-07
26,27,0.4247003507246919,2.9606642385759e-07
27,28,0.4247003507246919,2.9606642385759e-07
28,29,0.4247003507246919,2.9606642385759e-07
29,30,0.4247003507246919,2.9606642385759e-07
30,31,0.4247003507246919,2.9606642385759e-07
31,32,0.4247003507246919,2.9606642385759e-07
32,33,0.4247003507246919,2.9606642385759e-07
33,34,0.42058000478807817,3.5294968374056637e-07
34,35,0.42058000478807817,3.5294968374056637e-07
35,36,0.42058000478807817,3.5294968374056637e-07
36,37,0.42058000478807817,3.5294968374056637e-07
37,38,0.42058000478807817,3.5294968374056637e-07
38,39,0.42058000478807817,3.5294968374056637e-07
39,40,0.42058000478807817,3.5294968374056637e-07
40,41,0.42058000478807817,3.5294968374056637e-07
41,42,0.42058000478807817,3.5294968374056637e-07
42,43,0.42058000478807817,3.5294968374056637e-07
43,44,0.42058000478807817,3.5294968374056637e-07
44,45,0.42058000478807817,3.5294968374056637e-07
45,46,0.42058000478807817,3.5294968374056637e-07
46,47,0.42058000478807817,3.5294968374056637e-07
47,48,0.42058000478807817,3.5294968374056637e-07
48,49,0.42058000478807817,3.5294968374056637e-07
49,50,0.42058000478807817,3.5294968374056637e-07
